Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(28, 4)","(23, 30)","[(28, 4), (28, 5), (28, 6), (28, 7), (28, 8), (28, 9), (28, 10), (28, 11), (28, 12), (28, 13), (28, 14), (28, 15), (28, 16), (28, 17), (28, 18), (27, 18), (27, 19), (27, 20), (27, 21), (27, 22), (27, 23), (27, 24), (27, 25), (27, 26), (26, 26), (25, 26), (25, 27), (25, 28), (25, 29), (24, 29), (24, 30), (23, 30)]",335,776,202,A_Star,c2,h1
"(28, 4)","(23, 30)","[(28, 4), (28, 5), (28, 6), (28, 7), (28, 8), (27, 8), (27, 9), (27, 10), (27, 11), (27, 12), (27, 13), (26, 13), (26, 14), (26, 15), (26, 16), (26, 17), (26, 18), (25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (24, 23), (24, 24), (24, 25), (24, 26), (24, 27), (24, 28), (23, 28), (23, 29), (23, 30)]",310,716,186,A_Star,c3,h1
"(28, 4)","(23, 30)","[(28, 4), (28, 5), (28, 6), (28, 7), (28, 8), (28, 9), (28, 10), (28, 11), (28, 12), (27, 12), (26, 12), (25, 12), (25, 13), (25, 14), (25, 15), (25, 16), (25, 17), (25, 18), (25, 19), (25, 20), (25, 21), (24, 21), (23, 21), (23, 22), (23, 23), (23, 24), (23, 25), (23, 26), (23, 27), (23, 28), (23, 29), (23, 30)]",288,590,150,A_Star,c4,h1
"(28, 4)","(23, 30)","[(28, 4), (27, 4), (27, 5), (26, 5), (25, 5), (25, 6), (25, 7), (25, 8), (25, 9), (25, 10), (25, 11), (24, 11), (24, 12), (24, 13), (24, 14), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20), (24, 21), (23, 21), (23, 22), (23, 23), (23, 24), (23, 25), (23, 26), (23, 27), (23, 28), (23, 29), (23, 30)]",310,357,90,A_Star,c1,h2
"(28, 4)","(23, 30)","[(28, 4), (28, 5), (28, 6), (28, 7), (28, 8), (28, 9), (28, 10), (28, 11), (28, 12), (28, 13), (27, 13), (27, 14), (27, 15), (27, 16), (27, 17), (27, 18), (27, 19), (27, 20), (26, 20), (26, 21), (26, 22), (26, 23), (25, 23), (25, 24), (25, 25), (24, 25), (23, 25), (23, 26), (23, 27), (23, 28), (23, 29), (23, 30)]",335,660,167,A_Star,c2,h2
"(28, 4)","(23, 30)","[(28, 4), (28, 5), (28, 6), (28, 7), (28, 8), (27, 8), (27, 9), (27, 10), (27, 11), (27, 12), (27, 13), (26, 13), (26, 14), (26, 15), (26, 16), (26, 17), (26, 18), (25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (24, 23), (24, 24), (24, 25), (24, 26), (24, 27), (24, 28), (23, 28), (23, 29), (23, 30)]",310,299,76,A_Star,c3,h2
"(28, 4)","(23, 30)","[(28, 4), (28, 5), (28, 6), (28, 7), (28, 8), (27, 8), (26, 8), (25, 8), (24, 8), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (23, 22), (23, 23), (23, 24), (23, 25), (23, 26), (23, 27), (23, 28), (23, 29), (23, 30)]",300,125,32,A_Star,c4,h2
"(20, 12)","(9, 4)","[(20, 12), (20, 11), (19, 11), (18, 11), (17, 11), (17, 10), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (12, 8), (12, 7), (11, 7), (11, 6), (10, 6), (10, 5), (10, 4), (9, 4)]",190,501,126,A_Star,c1,h1
"(20, 12)","(9, 4)","[(20, 12), (19, 12), (18, 12), (17, 12), (16, 12), (16, 11), (16, 10), (16, 9), (15, 9), (15, 8), (15, 7), (14, 7), (14, 6), (14, 5), (13, 5), (12, 5), (11, 5), (10, 5), (10, 4), (9, 4)]",245,799,201,A_Star,c2,h1
"(20, 12)","(9, 4)","[(20, 12), (20, 11), (20, 10), (19, 10), (18, 10), (17, 10), (16, 10), (15, 10), (15, 9), (15, 8), (15, 7), (14, 7), (13, 7), (12, 7), (12, 6), (12, 5), (12, 4), (11, 4), (10, 4), (9, 4)]",202,557,140,A_Star,c3,h1
"(20, 12)","(9, 4)","[(20, 12), (20, 11), (20, 10), (20, 9), (19, 9), (18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (9, 8), (9, 7), (9, 6), (9, 5), (9, 4)]",166,321,81,A_Star,c4,h1
"(20, 12)","(9, 4)","[(20, 12), (20, 11), (19, 11), (18, 11), (17, 11), (16, 11), (16, 10), (15, 10), (14, 10), (13, 10), (12, 10), (12, 9), (12, 8), (12, 7), (11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 4)]",190,333,84,A_Star,c1,h2
"(20, 12)","(9, 4)","[(20, 12), (20, 11), (20, 10), (20, 9), (20, 8), (20, 7), (19, 7), (18, 7), (18, 6), (17, 6), (17, 5), (16, 5), (15, 5), (14, 5), (13, 5), (12, 5), (11, 5), (10, 5), (10, 4), (9, 4)]",245,577,145,A_Star,c2,h2
"(20, 12)","(9, 4)","[(20, 12), (20, 11), (20, 10), (19, 10), (18, 10), (17, 10), (16, 10), (15, 10), (15, 9), (15, 8), (15, 7), (14, 7), (13, 7), (12, 7), (12, 6), (12, 5), (12, 4), (11, 4), (10, 4), (9, 4)]",202,309,78,A_Star,c3,h2
"(20, 12)","(9, 4)","[(20, 12), (20, 11), (20, 10), (20, 9), (20, 8), (19, 8), (18, 8), (17, 8), (16, 8), (15, 8), (14, 8), (13, 8), (12, 8), (11, 8), (10, 8), (9, 8), (9, 7), (9, 6), (9, 5), (9, 4)]",165,93,24,A_Star,c4,h2
"(8, 25)","(1, 29)","[(8, 25), (7, 25), (6, 25), (5, 25), (5, 26), (4, 26), (3, 26), (3, 27), (2, 27), (2, 28), (1, 28), (1, 29)]",110,157,40,A_Star,c1,h1
"(8, 25)","(1, 29)","[(8, 25), (7, 25), (6, 25), (5, 25), (4, 25), (3, 25), (3, 26), (3, 27), (3, 28), (3, 29), (2, 29), (1, 29)]",145,264,68,A_Star,c2,h1
"(8, 25)","(1, 29)","[(8, 25), (8, 26), (8, 27), (7, 27), (6, 27), (5, 27), (4, 27), (3, 27), (2, 27), (2, 28), (2, 29), (1, 29)]",119,185,47,A_Star,c3,h1
"(8, 25)","(1, 29)","[(8, 25), (8, 26), (8, 27), (7, 27), (6, 27), (5, 27), (4, 27), (3, 27), (2, 27), (2, 28), (1, 28), (1, 29)]",102,113,29,A_Star,c4,h1
"(8, 25)","(1, 29)","[(8, 25), (7, 25), (7, 26), (6, 26), (5, 26), (5, 27), (5, 28), (5, 29), (4, 29), (3, 29), (2, 29), (1, 29)]",110,121,31,A_Star,c1,h2
"(8, 25)","(1, 29)","[(8, 25), (8, 26), (8, 27), (7, 27), (7, 28), (6, 28), (5, 28), (4, 28), (3, 28), (2, 28), (2, 29), (1, 29)]",145,197,51,A_Star,c2,h2
"(8, 25)","(1, 29)","[(8, 25), (8, 26), (8, 27), (7, 27), (6, 27), (5, 27), (4, 27), (3, 27), (2, 27), (2, 28), (2, 29), (1, 29)]",119,129,33,A_Star,c3,h2
"(8, 25)","(1, 29)","[(8, 25), (8, 26), (8, 27), (8, 28), (8, 29), (7, 29), (6, 29), (5, 29), (4, 29), (3, 29), (2, 29), (1, 29)]",91,45,12,A_Star,c4,h2
"(1, 17)","(2, 13)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (2, 13)]",50,33,9,A_Star,c1,h1
"(1, 17)","(2, 13)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (2, 13)]",55,37,10,A_Star,c2,h1
"(1, 17)","(2, 13)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (2, 13)]",50,21,6,A_Star,c3,h1
"(1, 17)","(2, 13)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (2, 13)]",50,21,6,A_Star,c4,h1
"(1, 17)","(2, 13)","[(1, 17), (2, 17), (2, 16), (2, 15), (2, 14), (2, 13)]",50,37,10,A_Star,c1,h2
"(1, 17)","(2, 13)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (2, 13)]",55,37,10,A_Star,c2,h2
"(1, 17)","(2, 13)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (2, 13)]",50,21,6,A_Star,c3,h2
"(1, 17)","(2, 13)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (2, 13)]",50,21,6,A_Star,c4,h2
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12), (28, 11), (28, 10), (28, 9), (28, 8), (28, 7), (29, 7), (30, 7), (30, 6)]",150,164,43,A_Star,c1,h1
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12), (28, 11), (28, 10), (28, 9), (28, 8), (29, 8), (29, 7), (30, 7), (30, 6)]",160,197,53,A_Star,c2,h1
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (29, 15), (29, 14), (29, 13), (29, 12), (29, 11), (29, 10), (30, 10), (30, 9), (30, 8), (30, 7), (30, 6)]",150,165,43,A_Star,c3,h1
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12), (28, 11), (28, 10), (29, 10), (30, 10), (30, 9), (30, 8), (30, 7), (30, 6)]",141,100,27,A_Star,c4,h1
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (29, 18), (29, 17), (29, 16), (30, 16), (30, 15), (30, 14), (30, 13), (30, 12), (30, 11), (30, 10), (30, 9), (30, 8), (30, 7), (30, 6)]",150,112,32,A_Star,c1,h2
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (28, 14), (28, 13), (28, 12), (28, 11), (28, 10), (28, 9), (28, 8), (28, 7), (29, 7), (30, 7), (30, 6)]",160,143,39,A_Star,c2,h2
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (29, 15), (29, 14), (29, 13), (29, 12), (29, 11), (29, 10), (30, 10), (30, 9), (30, 8), (30, 7), (30, 6)]",150,109,29,A_Star,c3,h2
"(28, 19)","(30, 6)","[(28, 19), (28, 18), (28, 17), (28, 16), (28, 15), (29, 15), (30, 15), (30, 14), (30, 13), (30, 12), (30, 11), (30, 10), (30, 9), (30, 8), (30, 7), (30, 6)]",149,52,16,A_Star,c4,h2
"(8, 2)","(22, 7)","[(8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (18, 3), (19, 3), (20, 3), (20, 4), (21, 4), (21, 5), (22, 5), (22, 6), (22, 7)]",190,425,109,A_Star,c1,h1
"(8, 2)","(22, 7)","[(8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 2), (21, 2), (21, 3), (22, 3), (22, 4), (22, 5), (22, 6), (22, 7)]",260,707,181,A_Star,c2,h1
"(8, 2)","(22, 7)","[(8, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (15, 4), (15, 5), (16, 5), (17, 5), (18, 5), (19, 5), (19, 6), (19, 7), (20, 7), (21, 7), (22, 7)]",211,495,127,A_Star,c3,h1
"(8, 2)","(22, 7)","[(8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2), (20, 2), (21, 2), (22, 2), (22, 3), (22, 4), (22, 5), (22, 6), (22, 7)]",175,325,82,A_Star,c4,h1
"(8, 2)","(22, 7)","[(8, 2), (9, 2), (9, 3), (10, 3), (11, 3), (12, 3), (12, 4), (12, 5), (13, 5), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (19, 7), (20, 7), (21, 7), (22, 7)]",190,205,52,A_Star,c1,h2
"(8, 2)","(22, 7)","[(8, 2), (8, 3), (8, 4), (8, 5), (9, 5), (10, 5), (11, 5), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 6), (22, 6), (22, 7)]",260,553,141,A_Star,c2,h2
"(8, 2)","(22, 7)","[(8, 2), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (15, 4), (15, 5), (16, 5), (17, 5), (18, 5), (19, 5), (19, 6), (19, 7), (20, 7), (21, 7), (22, 7)]",211,317,80,A_Star,c3,h2
"(8, 2)","(22, 7)","[(8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (17, 6), (18, 6), (19, 6), (20, 6), (21, 6), (22, 6), (22, 7)]",171,105,27,A_Star,c4,h2
"(18, 26)","(3, 21)","[(18, 26), (17, 26), (16, 26), (15, 26), (14, 26), (13, 26), (12, 26), (12, 25), (11, 25), (10, 25), (9, 25), (8, 25), (7, 25), (6, 25), (5, 25), (5, 24), (4, 24), (4, 23), (3, 23), (3, 22), (3, 21)]",200,449,113,A_Star,c1,h1
"(18, 26)","(3, 21)","[(18, 26), (17, 26), (16, 26), (15, 26), (14, 26), (13, 26), (12, 26), (11, 26), (10, 26), (9, 26), (8, 26), (7, 26), (6, 26), (5, 26), (5, 25), (5, 24), (5, 23), (4, 23), (4, 22), (4, 21), (3, 21)]",275,858,218,A_Star,c2,h1
