Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(15, 24)","(13, 11)","[(15, 24), (14, 24), (13, 24), (13, 23), (13, 22), (13, 21), (13, 20), (13, 19), (13, 18), (13, 17), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",160,61,16,Greedy,c2,h2
"(15, 24)","(13, 11)","[(15, 24), (14, 24), (13, 24), (13, 23), (13, 22), (13, 21), (13, 20), (13, 19), (13, 18), (13, 17), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",157,61,16,Greedy,c3,h2
"(15, 24)","(13, 11)","[(15, 24), (14, 24), (13, 24), (13, 23), (13, 22), (13, 21), (13, 20), (13, 19), (13, 18), (13, 17), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",157,61,16,Greedy,c4,h2
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (23, 22), (22, 22), (22, 23), (21, 23), (21, 24), (20, 24), (20, 25), (19, 25), (19, 26), (18, 26), (18, 27), (17, 27), (17, 28), (16, 28), (16, 29)]",330,133,34,Greedy,c1,h1
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (23, 22), (22, 22), (22, 23), (21, 23), (21, 24), (20, 24), (20, 25), (19, 25), (19, 26), (18, 26), (18, 27), (17, 27), (17, 28), (16, 28), (16, 29)]",365,133,34,Greedy,c2,h1
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (23, 22), (22, 22), (22, 23), (21, 23), (21, 24), (20, 24), (20, 25), (19, 25), (19, 26), (18, 26), (18, 27), (17, 27), (17, 28), (16, 28), (16, 29)]",351,133,34,Greedy,c3,h1
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (23, 22), (22, 22), (22, 23), (21, 23), (21, 24), (20, 24), (20, 25), (19, 25), (19, 26), (18, 26), (18, 27), (17, 27), (17, 28), (16, 28), (16, 29)]",330,133,34,Greedy,c4,h1
"(23, 3)","(16, 29)","[(23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (16, 19), (16, 20), (16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (16, 27), (16, 28), (16, 29)]",330,133,34,Greedy,c1,h2
"(23, 3)","(16, 29)","[(23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (16, 19), (16, 20), (16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (16, 27), (16, 28), (16, 29)]",365,133,34,Greedy,c2,h2
"(23, 3)","(16, 29)","[(23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (16, 19), (16, 20), (16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (16, 27), (16, 28), (16, 29)]",343,133,34,Greedy,c3,h2
