Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(29, 3)","(0, 20)","[(29, 3), (29, 4), (29, 5), (29, 6), (28, 6), (27, 6), (26, 6), (25, 6), (24, 6), (23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (18, 6), (17, 6), (17, 7), (17, 8), (17, 9), (17, 10), (17, 11), (16, 11), (15, 11), (14, 11), (13, 11), (12, 11), (11, 11), (11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (10, 16), (9, 16), (8, 16), (7, 16), (6, 16), (5, 16), (4, 16), (4, 17), (4, 18), (4, 19), (4, 20), (3, 20), (2, 20), (1, 20), (0, 20)]",393,1765,903,UCS,c4,h1
"(28, 25)","(9, 30)","[(28, 25), (27, 25), (27, 26), (27, 27), (27, 28), (27, 29), (27, 30), (26, 30), (25, 30), (24, 30), (23, 30), (22, 30), (21, 30), (20, 30), (19, 30), (18, 30), (17, 30), (16, 30), (15, 30), (14, 30), (13, 30), (12, 30), (11, 30), (10, 30), (9, 30)]",240,928,461,UCS,c1,h1
"(28, 25)","(9, 30)","[(28, 25), (27, 25), (26, 25), (25, 25), (24, 25), (23, 25), (22, 25), (21, 25), (20, 25), (19, 25), (18, 25), (17, 25), (16, 25), (15, 25), (14, 25), (13, 25), (12, 25), (11, 25), (10, 25), (10, 26), (10, 27), (10, 28), (10, 29), (10, 30), (9, 30)]",335,1081,543,UCS,c2,h1
"(28, 25)","(9, 30)","[(28, 25), (27, 25), (26, 25), (25, 25), (24, 25), (23, 25), (22, 25), (21, 25), (20, 25), (20, 26), (20, 27), (19, 27), (18, 27), (17, 27), (16, 27), (16, 28), (16, 29), (15, 29), (14, 29), (13, 29), (12, 29), (11, 29), (11, 30), (10, 30), (9, 30)]",273,1031,517,UCS,c3,h1
"(28, 25)","(9, 30)","[(28, 25), (28, 26), (28, 27), (27, 27), (26, 27), (25, 27), (24, 27), (23, 27), (22, 27), (21, 27), (20, 27), (19, 27), (18, 27), (17, 27), (16, 27), (15, 27), (14, 27), (13, 27), (13, 28), (13, 29), (13, 30), (12, 30), (11, 30), (10, 30), (9, 30)]",207,903,450,UCS,c4,h1
"(10, 19)","(1, 16)","[(10, 19), (9, 19), (8, 19), (7, 19), (6, 19), (5, 19), (4, 19), (3, 19), (2, 19), (1, 19), (1, 18), (1, 17), (1, 16)]",120,573,267,UCS,c1,h1
"(10, 19)","(1, 16)","[(10, 19), (9, 19), (8, 19), (7, 19), (6, 19), (5, 19), (4, 19), (4, 18), (4, 17), (4, 16), (3, 16), (2, 16), (1, 16)]",165,749,355,UCS,c2,h1
"(10, 19)","(1, 16)","[(10, 19), (10, 18), (9, 18), (8, 18), (7, 18), (6, 18), (5, 18), (4, 18), (3, 18), (3, 17), (3, 16), (2, 16), (1, 16)]",133,673,318,UCS,c3,h1
"(10, 19)","(1, 16)","[(10, 19), (10, 18), (10, 17), (10, 16), (9, 16), (8, 16), (7, 16), (6, 16), (5, 16), (4, 16), (3, 16), (2, 16), (1, 16)]",99,570,267,UCS,c4,h1
"(26, 11)","(22, 25)","[(26, 11), (25, 11), (25, 12), (25, 13), (25, 14), (25, 15), (25, 16), (25, 17), (25, 18), (25, 19), (25, 20), (25, 21), (25, 22), (25, 23), (25, 24), (25, 25), (24, 25), (23, 25), (22, 25)]",180,854,420,UCS,c1,h1
"(26, 11)","(22, 25)","[(26, 11), (26, 12), (26, 13), (26, 14), (26, 15), (26, 16), (26, 17), (26, 18), (26, 19), (26, 20), (26, 21), (25, 21), (25, 22), (24, 22), (24, 23), (23, 23), (22, 23), (22, 24), (22, 25)]",200,760,375,UCS,c2,h1
"(26, 11)","(22, 25)","[(26, 11), (26, 12), (26, 13), (26, 14), (25, 14), (24, 14), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (23, 19), (23, 20), (23, 21), (23, 22), (23, 23), (23, 24), (22, 24), (22, 25)]",181,796,392,UCS,c3,h1
"(26, 11)","(22, 25)","[(26, 11), (26, 12), (26, 13), (26, 14), (26, 15), (26, 16), (26, 17), (26, 18), (26, 19), (25, 19), (24, 19), (23, 19), (22, 19), (22, 20), (22, 21), (22, 22), (22, 23), (22, 24), (22, 25)]",164,871,430,UCS,c4,h1
"(29, 24)","(4, 2)","[(29, 24), (28, 24), (27, 24), (26, 24), (25, 24), (24, 24), (23, 24), (22, 24), (21, 24), (20, 24), (19, 24), (18, 24), (17, 24), (16, 24), (15, 24), (15, 23), (14, 23), (14, 22), (14, 21), (13, 21), (13, 20), (12, 20), (12, 19), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (7, 10), (6, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (5, 5), (5, 4), (5, 3), (5, 2), (4, 2)]",470,1829,940,UCS,c1,h1
"(29, 24)","(4, 2)","[(29, 24), (28, 24), (27, 24), (26, 24), (25, 24), (24, 24), (23, 24), (22, 24), (21, 24), (20, 24), (19, 24), (18, 24), (17, 24), (16, 24), (15, 24), (15, 23), (15, 22), (14, 22), (13, 22), (13, 21), (12, 21), (11, 21), (11, 20), (11, 19), (11, 18), (10, 18), (10, 17), (10, 16), (10, 15), (10, 14), (10, 13), (10, 12), (10, 11), (10, 10), (9, 10), (9, 9), (9, 8), (9, 7), (9, 6), (9, 5), (9, 4), (8, 4), (7, 4), (6, 4), (6, 3), (5, 3), (5, 2), (4, 2)]",595,1817,933,UCS,c2,h1
